"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016569","BP","GO:0016569","covalent chromatin modification","49/1115","474/18670",0.00012917190304256,0.00012917190304256,0.051269565151551,"UBR2/KMT2C/ING3/KDM5A/BAZ2A/RIF1/KAT6A/NCOA1/UIMC1/WAC/FMR1/JADE3/SETD6/UBR5/MAPK8/KDM3A/ATF2/RLF/ENY2/EPC1/KDM3B/GTF3C4/ASH2L/ELP3/EPC2/KAT7/SMAD4/KANSL1L/DCAF1/HDAC8/NSD3/TADA1/CHD1/USP16/PCGF6/PAXIP1/AUTS2/ELK4/PAXBP1/HLCS/MCM3AP/CHTOP/MYSM1/ATXN7/YEATS2/SIN3A/TAF9B/TRRAP/TRIM16",49
"GO:0000077","BP","GO:0000077","DNA damage checkpoint","21/1115","145/18670",0.00014377029935232,0.00014377029935232,0.051269565151551,"MRE11/CNOT4/UIMC1/PCBP4/MAP3K20/WAC/NBN/CASP2/TFDP2/ATF2/PLAGL1/CNOT1/RINT1/RNASEH2B/CNOT6L/BABAM2/DONSON/CRADD/MDM4/CNOT7/PRKDC",21
"GO:0072413","BP","GO:0072413","signal transduction involved in mitotic cell cycle checkpoint","12/1115","59/18670",0.00015922543428228,0.00015922543428228,0.051269565151551,"CNOT4/PCBP4/CASP2/TFDP2/PLAGL1/CNOT1/RINT1/CNOT6L/CRADD/MDM4/CNOT7/PRKDC",12
"GO:1902402","BP","GO:1902402","signal transduction involved in mitotic DNA damage checkpoint","12/1115","59/18670",0.00015922543428228,0.00015922543428228,0.051269565151551,"CNOT4/PCBP4/CASP2/TFDP2/PLAGL1/CNOT1/RINT1/CNOT6L/CRADD/MDM4/CNOT7/PRKDC",12
"GO:1902403","BP","GO:1902403","signal transduction involved in mitotic DNA integrity checkpoint","12/1115","59/18670",0.00015922543428228,0.00015922543428228,0.051269565151551,"CNOT4/PCBP4/CASP2/TFDP2/PLAGL1/CNOT1/RINT1/CNOT6L/CRADD/MDM4/CNOT7/PRKDC",12
"GO:0031570","BP","GO:0031570","DNA integrity checkpoint","22/1115","157/18670",0.000164791066611726,0.000164791066611726,0.051269565151551,"MRE11/CNOT4/UIMC1/PCBP4/MAP3K20/WAC/NBN/CASP2/TFDP2/ATF2/PLAGL1/CNOT1/RINT1/RNASEH2B/CNOT6L/BABAM2/DONSON/TOPBP1/CRADD/MDM4/CNOT7/PRKDC",22
"GO:0044774","BP","GO:0044774","mitotic DNA integrity checkpoint","17/1115","106/18670",0.000174023429423613,0.000174023429423613,0.051269565151551,"MRE11/CNOT4/PCBP4/NBN/CASP2/TFDP2/ATF2/PLAGL1/CNOT1/RINT1/CNOT6L/DONSON/TOPBP1/CRADD/MDM4/CNOT7/PRKDC",17
"GO:0044773","BP","GO:0044773","mitotic DNA damage checkpoint","16/1115","97/18670",0.000191552717943162,0.000191552717943162,0.0532987036241851,"MRE11/CNOT4/PCBP4/NBN/CASP2/TFDP2/ATF2/PLAGL1/CNOT1/RINT1/CNOT6L/DONSON/CRADD/MDM4/CNOT7/PRKDC",16
"GO:0007019","BP","GO:0007019","microtubule depolymerization","10/1115","44/18670",0.000213225376850107,0.000213225376850107,0.0549014604383799,"NAV3/KIF2A/CLASP1/TTBK2/CAMSAP1/MAP1B/APC/HDGFL3/MAP1A/STMN3",10
"GO:0031114","BP","GO:0031114","regulation of microtubule depolymerization","8/1115","29/18670",0.000219236601162089,0.000219236601162089,0.0549014604383799,"NAV3/CLASP1/TTBK2/CAMSAP1/MAP1B/APC/HDGFL3/MAP1A",8
"GO:0031122","BP","GO:0031122","cytoplasmic microtubule organization","11/1115","53/18670",0.000245860065047127,0.000245860065047127,0.058636701227781,"PAFAH1B1/SLK/CLASP1/DLG1/PCM1/KPNB1/TUBGCP3/CAMSAP1/DST/CEP120/STMN3",11
"GO:0044783","BP","GO:0044783","G1 DNA damage checkpoint","12/1115","64/18670",0.00035465422270934,0.00035465422270934,0.0772285945835717,"CNOT4/PCBP4/WAC/CASP2/TFDP2/PLAGL1/CNOT1/CNOT6L/CRADD/MDM4/CNOT7/PRKDC",12
"GO:0046834","BP","GO:0046834","lipid phosphorylation","12/1115","64/18670",0.00035465422270934,0.00035465422270934,0.0772285945835717,"AGK/PIK3C3/DGKH/IMPAD1/PIK3CA/EFR3A/PIK3R1/SOCS5/SOCS3/SOCS1/SOCS7/PIP4K2B",12
"GO:0016573","BP","GO:0016573","histone acetylation","21/1115","156/18670",0.000400570594780767,0.000400570594780767,0.0835927583318811,"ING3/KAT6A/NCOA1/JADE3/ATF2/EPC1/GTF3C4/ELP3/EPC2/KAT7/SMAD4/KANSL1L/TADA1/PAXIP1/AUTS2/MCM3AP/YEATS2/SIN3A/TAF9B/TRRAP/TRIM16",21
"GO:1900153","BP","GO:1900153","positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","6/1115","18/18670",0.000445895736358402,0.000445895736358402,0.0882604973484842,"TNRC6C/AGO2/CNOT1/DHX36/NANOS3/CNOT7",6
"GO:0072431","BP","GO:0072431","signal transduction involved in mitotic G1 DNA damage checkpoint","11/1115","57/18670",0.000478181697926941,0.000478181697926941,0.0882604973484842,"CNOT4/PCBP4/CASP2/TFDP2/PLAGL1/CNOT1/CNOT6L/CRADD/MDM4/CNOT7/PRKDC",11
"GO:1902400","BP","GO:1902400","intracellular signal transduction involved in G1 DNA damage checkpoint","11/1115","57/18670",0.000478181697926941,0.000478181697926941,0.0882604973484842,"CNOT4/PCBP4/CASP2/TFDP2/PLAGL1/CNOT1/CNOT6L/CRADD/MDM4/CNOT7/PRKDC",11
"GO:0007026","BP","GO:0007026","negative regulation of microtubule depolymerization","7/1115","25/18670",0.000493427748942766,0.000493427748942766,0.0882604973484842,"NAV3/CLASP1/TTBK2/CAMSAP1/MAP1B/APC/HDGFL3",7
"GO:0001580","BP","GO:0001580","detection of chemical stimulus involved in sensory perception of bitter taste","9/1115","41/18670",0.000577554493487311,0.000577554493487311,0.0959399212931261,"TAS2R3/TAS2R4/TAS2R19/TAS2R50/TAS2R14/TAS2R40/TAS2R39/TAS2R20/TAS2R31",9
"GO:0000288","BP","GO:0000288","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","13/1115","77/18670",0.000592151373341173,0.000592151373341173,0.0959399212931261,"TNRC6C/CNOT4/DIS3/HBS1L/AGO2/CNOT1/CNOT6L/PAN3/DHX36/NANOS3/TTC37/CNOT7/DCP1A",13
"GO:1901987","BP","GO:1901987","regulation of cell cycle phase transition","47/1115","480/18670",0.000595254019246299,0.000595254019246299,0.0959399212931261,"PAFAH1B1/MRE11/TPR/PSME4/CLASP1/PCM1/CNOT4/UIMC1/PCBP4/PSMA3/NBN/CASP2/FBXW7/TFDP2/PLAGL1/ECD/CNOT1/AKAP9/CDC16/APC/RINT1/USP44/RNASEH2B/RDX/CNOT6L/ADAM17/ANAPC1/LSM11/PAXIP1/BABAM2/NPM2/DONSON/TOPBP1/RAD21/CEP57/CRADD/SIN3A/USP47/PKIA/MTBP/GEN1/KNTC1/DCUN1D3/MDM4/CNOT7/MIR892B/PRKDC",47
"GO:0018393","BP","GO:0018393","internal peptidyl-lysine acetylation","21/1115","161/18670",0.000612983103680335,0.000612983103680335,0.0959399212931261,"ING3/KAT6A/NCOA1/JADE3/ATF2/EPC1/GTF3C4/ELP3/EPC2/KAT7/SMAD4/KANSL1L/TADA1/PAXIP1/AUTS2/MCM3AP/YEATS2/SIN3A/TAF9B/TRRAP/TRIM16",21
"GO:0046854","BP","GO:0046854","phosphatidylinositol phosphorylation","10/1115","50/18670",0.000637310234574859,0.000637310234574859,0.0967247877546149,"PIK3C3/IMPAD1/PIK3CA/EFR3A/PIK3R1/SOCS5/SOCS3/SOCS1/SOCS7/PIP4K2B",10
"GO:0006409","BP","GO:0006409","tRNA export from nucleus","8/1115","34/18670",0.000710633739799219,0.000710633739799219,0.101690085232021,"TPR/NUP88/NUP155/NUP153/NUP205/XPOT/POM121/POM121C",8
"GO:0071431","BP","GO:0071431","tRNA-containing ribonucleoprotein complex export from nucleus","8/1115","34/18670",0.000710633739799219,0.000710633739799219,0.101690085232021,"TPR/NUP88/NUP155/NUP153/NUP205/XPOT/POM121/POM121C",8
"GO:0046794","BP","GO:0046794","transport of virus","11/1115","60/18670",0.000753976663222964,0.000753976663222964,0.103100894636948,"TPR/EPS15/FMR1/KPNB1/NUP88/NUP155/NUP153/NUP205/VPS37A/POM121/POM121C",11
"GO:0031110","BP","GO:0031110","regulation of microtubule polymerization or depolymerization","13/1115","79/18670",0.000761663818093466,0.000761663818093466,0.103100894636948,"NAV3/CLASP1/AKAP9/TTBK2/CAMSAP1/MAP1B/APC/TERF1/DYRK1A/HDGFL3/MAP1A/STMN3/TOGARAM1",13
"GO:1900151","BP","GO:1900151","regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","6/1115","20/18670",0.000839855311209323,0.000839855311209323,0.103868875104789,"TNRC6C/AGO2/CNOT1/DHX36/NANOS3/CNOT7",6
"GO:0018205","BP","GO:0018205","peptidyl-lysine modification","40/1115","397/18670",0.000856971646179651,0.000856971646179651,0.103868875104789,"TPR/KMT2C/ING3/PIAS2/RIF1/KAT6A/NCOA1/JADE3/SETD6/NUP88/NUP155/KDM3A/ATF2/RLF/SENP5/EPC1/EEF1AKMT3/NUP153/GTF3C4/ASH2L/ELP3/EPC2/KAT7/ETFBKMT/SMAD4/KANSL1L/NSD3/TADA1/NUP205/PAXIP1/AUTS2/MCM3AP/YEATS2/SIN3A/TAF9B/POM121/TRRAP/EEF1AKMT2/TRIM16/POM121C",40
"GO:0006606","BP","GO:0006606","protein import into nucleus","19/1115","143/18670",0.000870883032686143,0.000870883032686143,0.103868875104789,"TPR/RBM22/UBR5/KPNB1/NUP88/RAB23/NUP155/NUP153/SMO/PPP3CA/PIK3R1/PKIA/RGPD6/KPNA4/APOD/POM121/KPNA5/IPO9/POM121C",19
"GO:0044766","BP","GO:0044766","multi-organism transport","11/1115","61/18670",0.00087103155037433,0.00087103155037433,0.103868875104789,"TPR/EPS15/FMR1/KPNB1/NUP88/NUP155/NUP153/NUP205/VPS37A/POM121/POM121C",11
"GO:1902579","BP","GO:1902579","multi-organism localization","11/1115","61/18670",0.00087103155037433,0.00087103155037433,0.103868875104789,"TPR/EPS15/FMR1/KPNB1/NUP88/NUP155/NUP153/NUP205/VPS37A/POM121/POM121C",11
"GO:0006475","BP","GO:0006475","internal protein amino acid acetylation","21/1115","166/18670",0.000916856411804612,0.000916856411804612,0.106790766398197,"ING3/KAT6A/NCOA1/JADE3/ATF2/EPC1/GTF3C4/ELP3/EPC2/KAT7/SMAD4/KANSL1L/TADA1/PAXIP1/AUTS2/MCM3AP/YEATS2/SIN3A/TAF9B/TRRAP/TRIM16",21
"GO:0042770","BP","GO:0042770","signal transduction in response to DNA damage","18/1115","133/18670",0.000947903650813729,0.000947903650813729,0.107472841589792,"CNOT4/UIMC1/PCBP4/NBN/CASP2/TFDP2/PLAGL1/CNOT1/RINT1/CNOT6L/PAXIP1/DYRK1A/BABAM2/CRADD/SPRED3/MDM4/CNOT7/PRKDC",18
"GO:0010948","BP","GO:0010948","negative regulation of cell cycle process","37/1115","361/18670",0.000965629251358471,0.000965629251358471,0.107472841589792,"YAF2/MRE11/TPR/PSME4/CNOT4/UIMC1/PCBP4/PSMA3/NBN/CASP2/SMC3/FBXW7/TFDP2/PLAGL1/EPC1/CNOT1/APC/RINT1/USP44/CNOT6L/TERF1/PCGF6/BABAM2/DONSON/TOPBP1/RAD21/CRADD/USP47/MTBP/TNKS/PHC3/GEN1/DCUN1D3/MDM4/CNOT7/MIR892B/PRKDC",37
"GO:0051031","BP","GO:0051031","tRNA transport","8/1115","36/18670",0.00106508810783921,0.00106508810783921,0.115965428308901,"TPR/NUP88/NUP155/NUP153/NUP205/XPOT/POM121/POM121C",8
"GO:0031571","BP","GO:0031571","mitotic G1 DNA damage checkpoint","11/1115","63/18670",0.00115044379005758,0.00115044379005758,0.118062436697123,"CNOT4/PCBP4/CASP2/TFDP2/PLAGL1/CNOT1/CNOT6L/CRADD/MDM4/CNOT7/PRKDC",11
"GO:0044819","BP","GO:0044819","mitotic G1/S transition checkpoint","11/1115","63/18670",0.00115044379005758,0.00115044379005758,0.118062436697123,"CNOT4/PCBP4/CASP2/TFDP2/PLAGL1/CNOT1/CNOT6L/CRADD/MDM4/CNOT7/PRKDC",11
"GO:0018394","BP","GO:0018394","peptidyl-lysine acetylation","21/1115","169/18670",0.00115537481910832,0.00115537481910832,0.118062436697123,"ING3/KAT6A/NCOA1/JADE3/ATF2/EPC1/GTF3C4/ELP3/EPC2/KAT7/SMAD4/KANSL1L/TADA1/PAXIP1/AUTS2/MCM3AP/YEATS2/SIN3A/TAF9B/TRRAP/TRIM16",21
"GO:0050913","BP","GO:0050913","sensory perception of bitter taste","9/1115","45/18670",0.00117863929027182,0.00117863929027182,0.118062436697123,"TAS2R3/TAS2R4/TAS2R19/TAS2R50/TAS2R14/TAS2R40/TAS2R39/TAS2R20/TAS2R31",9
"GO:0009185","BP","GO:0009185","ribonucleoside diphosphate metabolic process","18/1115","136/18670",0.00123072568477099,0.00123072568477099,0.119370533396912,"TPR/ENTPD2/DLG1/MAGI3/NUP88/NUP155/ECD/NUP153/MPP1/NUP205/AK4/FOXK1/PGM2L1/DHTKD1/ZBTB20/POM121/ENTPD4/POM121C",18
"GO:1901990","BP","GO:1901990","regulation of mitotic cell cycle phase transition","43/1115","444/18670",0.00123936619373843,0.00123936619373843,0.119370533396912,"PAFAH1B1/MRE11/TPR/PSME4/CLASP1/PCM1/CNOT4/PCBP4/PSMA3/NBN/CASP2/TFDP2/PLAGL1/ECD/CNOT1/AKAP9/CDC16/APC/RINT1/USP44/RNASEH2B/RDX/CNOT6L/ADAM17/ANAPC1/LSM11/NPM2/DONSON/TOPBP1/RAD21/CEP57/CRADD/SIN3A/USP47/PKIA/MTBP/GEN1/KNTC1/DCUN1D3/MDM4/CNOT7/MIR892B/PRKDC",43
"GO:0031111","BP","GO:0031111","negative regulation of microtubule polymerization or depolymerization","8/1115","37/18670",0.00128873939595961,0.00128873939595961,0.121783953246789,"NAV3/CLASP1/TTBK2/CAMSAP1/MAP1B/APC/DYRK1A/HDGFL3",8
"GO:0090141","BP","GO:0090141","positive regulation of mitochondrial fission","5/1115","15/18670",0.00136556161975288,0.00136556161975288,0.126653843796963,"DDHD2/DNM1L/DDHD1/BNIP3/MARCHF5",5
"GO:0005980","BP","GO:0005980","glycogen catabolic process","6/1115","22/18670",0.00145884242149145,0.00145884242149145,0.132265479047573,"RB1CC1/PHKA1/PYGL/PHKB/PGM2L1/PPP1R3B",6
"GO:0051236","BP","GO:0051236","establishment of RNA localization","23/1115","196/18670",0.00150755163160809,0.00150755163160809,0.132265479047573,"TPR/FMR1/NUP88/CPSF6/NUP155/SRSF11/ENY2/NUP153/XPO7/WDR33/TERF1/AHCTF1/NUP205/MCM3AP/CHTOP/KIF5C/HNRNPA3/TNKS/XPOT/PURA/POM121/SMG5/POM121C",23
"GO:0097064","BP","GO:0097064","ncRNA export from nucleus","8/1115","38/18670",0.00154818833350255,0.00154818833350255,0.132265479047573,"TPR/NUP88/NUP155/NUP153/NUP205/XPOT/POM121/POM121C",8
"GO:0006140","BP","GO:0006140","regulation of nucleotide metabolic process","16/1115","117/18670",0.00159100342776735,0.00159100342776735,0.132265479047573,"NOS2/TPR/NUP88/NUP155/ECD/NUP153/GUCA1C/PDK1/ACMSD/NUP205/AK4/PDP1/PDP2/ZBTB20/POM121/POM121C",16
"GO:0006977","BP","GO:0006977","DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest","10/1115","56/18670",0.00159688945803679,0.00159688945803679,0.132265479047573,"CNOT4/PCBP4/CASP2/TFDP2/PLAGL1/CNOT1/CNOT6L/CRADD/MDM4/CNOT7",10
"GO:0070936","BP","GO:0070936","protein K48-linked ubiquitination","10/1115","56/18670",0.00159688945803679,0.00159688945803679,0.132265479047573,"RNF216/UBR5/MARCHF6/FBXO38/AMFR/TRIM44/TTC3/UBE2G2/ZNRF1/UBE2H",10
"GO:0050912","BP","GO:0050912","detection of chemical stimulus involved in sensory perception of taste","9/1115","47/18670",0.00162832357762305,0.00162832357762305,0.132265479047573,"TAS2R3/TAS2R4/TAS2R19/TAS2R50/TAS2R14/TAS2R40/TAS2R39/TAS2R20/TAS2R31",9
"GO:0010498","BP","GO:0010498","proteasomal protein catabolic process","45/1115","477/18670",0.00163733432448551,0.00163733432448551,0.132265479047573,"ANKIB1/RNF216/NUB1/UBR2/RNF19A/MAPK9/PSME4/NEDD4/KLHL20/WAC/TRIM9/PSMA3/USP14/FMR1/ATE1/FBXL20/SMURF2/FBXW7/FBXL4/WWP1/CDC16/EDEM1/UBQLN1/USP44/NUDT15/ECPAS/TMF1/MARCHF6/FBXO38/RNF217/RNF144A/AMN1/ANAPC1/USP25/AMFR/MAP1A/FBXO22/DNAJC18/SOCS5/PSME3IP1/KLHL15/UBE2G2/ZNRF1/UBE2H/RNF103",45
"GO:0051028","BP","GO:0051028","mRNA transport","19/1115","152/18670",0.0018097080560108,0.0018097080560108,0.141693019618704,"TPR/FMR1/NUP88/NUP155/SRSF11/ENY2/NUP153/XPO7/WDR33/AHCTF1/NUP205/MCM3AP/CHTOP/KIF5C/HNRNPA3/TNKS/POM121/SMG5/POM121C",19
"GO:0075733","BP","GO:0075733","intracellular transport of virus","10/1115","57/18670",0.00183491238571974,0.00183491238571974,0.141693019618704,"TPR/FMR1/KPNB1/NUP88/NUP155/NUP153/NUP205/VPS37A/POM121/POM121C",10
"GO:0009251","BP","GO:0009251","glucan catabolic process","6/1115","23/18670",0.00187506988031421,0.00187506988031421,0.141693019618704,"RB1CC1/PHKA1/PYGL/PHKB/PGM2L1/PPP1R3B",6
"GO:0016578","BP","GO:0016578","histone deubiquitination","6/1115","23/18670",0.00187506988031421,0.00187506988031421,0.141693019618704,"UIMC1/ENY2/USP16/MYSM1/ATXN7/TRRAP",6
"GO:0043543","BP","GO:0043543","protein acylation","27/1115","248/18670",0.00189549405185593,0.00189549405185593,0.141693019618704,"ING3/KAT6A/NCOA1/PPM1A/JADE3/NAA25/ATF2/EPC1/GTF3C4/ELP3/EPC2/KAT7/SMAD4/KANSL1L/TADA1/PAXIP1/AUTS2/MCM3AP/YEATS2/CEP295/SIN3A/ZDHHC21/MBOAT4/ZDHHC17/TAF9B/TRRAP/TRIM16",27
"GO:0045930","BP","GO:0045930","negative regulation of mitotic cell cycle","34/1115","338/18670",0.00207347577071709,0.00207347577071709,0.152718230914426,"MRE11/TPR/PSME4/DLG1/CNOT4/PCBP4/MAP3K20/PSMA3/FZD3/NBN/CASP2/TFDP2/ATF2/PLAGL1/CNOT1/APC/RINT1/USP44/CNOT6L/DONSON/TOPBP1/RAD21/CRADD/USP47/MTBP/TNKS/NABP1/GEN1/KNTC1/DCUN1D3/MDM4/CNOT7/MIR892B/PRKDC",34
"GO:1903313","BP","GO:1903313","positive regulation of mRNA metabolic process","12/1115","78/18670",0.0021766725199727,0.0021766725199727,0.157995543097332,"TNRC6C/AGO2/CNOT1/ROCK2/CNOT6L/FTO/MOV10/DHX36/YTHDF3/NANOS3/CNOT7/RBMXL1",12
"GO:0006473","BP","GO:0006473","protein acetylation","23/1115","204/18670",0.00254219322559876,0.00254219322559876,0.175418193181453,"ING3/KAT6A/NCOA1/JADE3/NAA25/ATF2/EPC1/GTF3C4/ELP3/EPC2/KAT7/SMAD4/KANSL1L/TADA1/PAXIP1/AUTS2/MCM3AP/YEATS2/CEP295/SIN3A/TAF9B/TRRAP/TRIM16",23
"GO:0034122","BP","GO:0034122","negative regulation of toll-like receptor signaling pathway","8/1115","41/18670",0.00258119399463821,0.00258119399463821,0.175418193181453,"SARM1/TYRO3/UBQLN1/MFHAS1/OTUD4/F2RL1/LGR4/TLR9",8
"GO:0009135","BP","GO:0009135","purine nucleoside diphosphate metabolic process","17/1115","134/18670",0.00262442484634452,0.00262442484634452,0.175418193181453,"TPR/ENTPD2/DLG1/MAGI3/NUP88/NUP155/ECD/NUP153/MPP1/NUP205/AK4/FOXK1/PGM2L1/DHTKD1/ZBTB20/POM121/POM121C",17
"GO:0009179","BP","GO:0009179","purine ribonucleoside diphosphate metabolic process","17/1115","134/18670",0.00262442484634452,0.00262442484634452,0.175418193181453,"TPR/ENTPD2/DLG1/MAGI3/NUP88/NUP155/ECD/NUP153/MPP1/NUP205/AK4/FOXK1/PGM2L1/DHTKD1/ZBTB20/POM121/POM121C",17
"GO:0031109","BP","GO:0031109","microtubule polymerization or depolymerization","15/1115","112/18670",0.00270010815377577,0.00270010815377577,0.175418193181453,"NAV3/KIF2A/CLASP1/TUBGCP3/AKAP9/TTBK2/CAMSAP1/MAP1B/APC/TERF1/DYRK1A/HDGFL3/MAP1A/STMN3/TOGARAM1",15
"GO:0050657","BP","GO:0050657","nucleic acid transport","22/1115","193/18670",0.00271933630096038,0.00271933630096038,0.175418193181453,"TPR/FMR1/NUP88/CPSF6/NUP155/SRSF11/ENY2/NUP153/XPO7/WDR33/AHCTF1/NUP205/MCM3AP/CHTOP/KIF5C/HNRNPA3/TNKS/XPOT/PURA/POM121/SMG5/POM121C",22
"GO:0050658","BP","GO:0050658","RNA transport","22/1115","193/18670",0.00271933630096038,0.00271933630096038,0.175418193181453,"TPR/FMR1/NUP88/CPSF6/NUP155/SRSF11/ENY2/NUP153/XPO7/WDR33/AHCTF1/NUP205/MCM3AP/CHTOP/KIF5C/HNRNPA3/TNKS/XPOT/PURA/POM121/SMG5/POM121C",22
"GO:0043966","BP","GO:0043966","histone H3 acetylation","10/1115","60/18670",0.0027253716404962,0.0027253716404962,0.175418193181453,"KAT6A/JADE3/KAT7/SMAD4/TADA1/MCM3AP/YEATS2/SIN3A/TAF9B/TRIM16",10
"GO:1901988","BP","GO:1901988","negative regulation of cell cycle phase transition","28/1115","267/18670",0.00273192268069476,0.00273192268069476,0.175418193181453,"MRE11/TPR/PSME4/CNOT4/UIMC1/PCBP4/PSMA3/NBN/CASP2/TFDP2/PLAGL1/CNOT1/APC/RINT1/USP44/CNOT6L/BABAM2/DONSON/TOPBP1/RAD21/CRADD/USP47/GEN1/DCUN1D3/MDM4/CNOT7/MIR892B/PRKDC",28
"GO:0070536","BP","GO:0070536","protein K63-linked deubiquitination","7/1115","33/18670",0.00288659026208292,0.00288659026208292,0.182513120986533,"ZRANB1/UIMC1/STAMBP/USP25/USP16/BABAM2/OTUD4",7
"GO:0043244","BP","GO:0043244","regulation of protein-containing complex disassembly","15/1115","113/18670",0.00294580267536586,0.00294580267536586,0.182513120986533,"NAV3/CLASP1/TTBK2/CAMSAP1/MAP1B/APC/RDX/ADD3/SCAF4/F2RL1/HDGFL3/MAP1A/BNIP3/ASPH/SCAF8",15
"GO:0044247","BP","GO:0044247","cellular polysaccharide catabolic process","6/1115","25/18670",0.00296955622406188,0.00296955622406188,0.182513120986533,"RB1CC1/PHKA1/PYGL/PHKB/PGM2L1/PPP1R3B",6
